Film,Name,As time
EPISODE VI: RETURN OF THE JEDI,Jabba the Hutt,0.260416667
EPISODE II: ATTACK OF THE CLONES,Senator Bail Organa,0.03125
EPISODE III: REVENGE OF THE SITH,Senator Bail Organa,0.1875
ROGUE ONE,Senator Bail Organa,0.052083333
ROGUE ONE,Galen Erso,0.270833333
EPISODE III: REVENGE OF THE SITH,General Grievous,0.270833333
EPISODE I: THE PHANTOM MENACE,Watto,0.1875
EPISODE II: ATTACK OF THE CLONES,Watto,0.0625
EPISODE I: THE PHANTOM MENACE,Darth Maul,0.004166667
EPISODE II: ATTACK OF THE CLONES,Owen Lars,0.0625
EPISODE III: REVENGE OF THE SITH,Owen Lars,0.020833333
EPISODE IV: A NEW HOPE,Owen Lars,0.135416667
EPISODE II: ATTACK OF THE CLONES,Boba Fett,0.09375
EPISODE V: THE EMPIRE STRIKES BACK,Boba Fett,0.072916667
EPISODE VI: RETURN OF THE JEDI,Boba Fett,0.000694444
ROGUE ONE,Saw Gerrera,0.197916667
EPISODE II: ATTACK OF THE CLONES,Jango Fett,0.197916667
EPISODE I: THE PHANTOM MENACE,Ki-Adi-Mundi,0.052083333
EPISODE II: ATTACK OF THE CLONES,Ki-Adi-Mundi,0.052083333
EPISODE III: REVENGE OF THE SITH,Ki-Adi-Mundi,0.072916667
EPISODE II: ATTACK OF THE CLONES,Beru Lars,0.052083333
EPISODE III: REVENGE OF THE SITH,Beru Lars,0.020833333
EPISODE IV: A NEW HOPE,Beru Lars,0.072916667
EPISODE VII: THE FORCE AWAKENS,Maz Kanata,0.145833333
EPISODE VI: RETURN OF THE JEDI,Wicket W. Warrick,0.145833333
EPISODE VI: RETURN OF THE JEDI,Mon Mothma,0.000694444
ROGUE ONE,Mon Mothma,0.09375
EPISODE VII: THE FORCE AWAKENS,General Hux,0.135416667
EPISODE V: THE EMPIRE STRIKES BACK,Admiral Piett,0.09375
EPISODE VI: RETURN OF THE JEDI,Admiral Piett,0.000694444
EPISODE VI: RETURN OF THE JEDI,Admiral Ackbar,0.114583333
EPISODE VII: THE FORCE AWAKENS,Admiral Ackbar,0.020833333
EPISODE I: THE PHANTOM MENACE,Sio Bibble,0.114583333
EPISODE II: ATTACK OF THE CLONES,Sio Bibble,0.020833333
EPISODE III: REVENGE OF THE SITH,Sio Bibble,#VALUE!
EPISODE I: THE PHANTOM MENACE,Boss Nass,0.002083333
EPISODE III: REVENGE OF THE SITH,Boss Nass,#VALUE!
EPISODE I: THE PHANTOM MENACE,Bib Fortuna,0.010416667
EPISODE VI: RETURN OF THE JEDI,Bib Fortuna,0.114583333
EPISODE II: ATTACK OF THE CLONES,Zam Wesell,0.114583333
EPISODE IV: A NEW HOPE,Wedge Antilles,0.03125
EPISODE V: THE EMPIRE STRIKES BACK,Wedge Antilles,0.020833333
EPISODE VI: RETURN OF THE JEDI,Wedge Antilles,0.052083333
EPISODE II: ATTACK OF THE CLONES,Taun We,0.104166667
EPISODE II: ATTACK OF THE CLONES,Captain Typho,0.001388889
EPISODE III: REVENGE OF THE SITH,Captain Typho,0.010416667
EPISODE IV: A NEW HOPE,General Dodonna,0.0625
ROGUE ONE,General Dodonna,0.03125
ROGUE ONE,General Draven,0.09375
EPISODE I: THE PHANTOM MENACE,SabĚŠ,0.09375
EPISODE VII: THE FORCE AWAKENS,Supreme Leader Snoke,0.001388889
EPISODE II: ATTACK OF THE CLONES,Cliegg Lars,0.001388889
EPISODE II: ATTACK OF THE CLONES,Lama Su,0.001388889
EPISODE VII: THE FORCE AWAKENS,Captain Phasma,0.072916667
EPISODE VII: THE FORCE AWAKENS,Lor San Tekka,0.072916667
